Application,Time,Throughput
Application,Time,Throughput
Application,Time,Throughput
Application,Time,Throughput
2,370,0.000000
0,375,0.000000
1,375,0.000000
2,375,0.000000
0,380,0.000000
1,380,0.000000
2,380,0.000000
0,385,0.000000
1,385,0.000000
2,385,0.000000
0,390,0.000000
1,390,0.000000
2,390,0.000000
0,395,0.000000
1,395,0.000000
2,395,0.000000
0,400,0.000000
1,400,0.000000
2,400,0.000000
0,405,0.000000
1,405,0.000000
2,405,0.000000
0,410,0.000000
1,410,0.000000
2,410,0.000000
0,415,0.000000
1,415,0.000000
2,415,0.000000
0,420,0.000000
1,420,0.000000
2,420,0.000000
0,425,0.000000
1,425,0.000000
2,425,0.000000
0,430,0.000000
1,430,0.000000
2,430,0.000000
0,435,0.000000
1,435,0.000000
2,435,0.000000
0,440,0.000000
1,440,0.000000
2,440,0.000000
0,445,0.000000
1,445,0.000000
2,445,0.000000
0,450,0.000000
1,450,0.000000
2,450,0.000000
0,455,0.000000
1,455,0.000000
2,455,0.000000
0,460,0.000000
1,460,0.000000
2,460,0.000000
0,465,0.000000
1,465,0.000000
2,465,0.000000
0,470,0.000000
1,470,0.000000
2,470,0.000000
0,475,0.000000
1,475,0.000000
2,475,0.000000
0,480,0.000000
1,480,0.000000
2,480,0.000000
0,485,0.000000
1,485,0.000000
2,485,0.000000
0,490,0.000000
1,490,0.000000
2,490,0.000000
0,495,0.000000
1,495,0.000000
2,495,0.000000
0,500,0.000000
1,500,0.000000
2,500,0.000000
Application,Time,Throughput
0,5,11.347686
1,5,7.538867
2,5,3.294490
0,10,5.673843
1,10,3.769434
2,10,1.647245
0,15,2.836922
1,15,1.884717
2,15,0.823622
0,20,1.418461
1,20,0.942358
2,20,0.411811
0,25,0.709230
1,25,0.471179
2,25,0.205906
0,30,0.354615
1,30,0.235590
2,30,0.102953
0,35,0.177308
1,35,0.117795
2,35,0.051476
0,40,0.088654
1,40,0.058897
2,40,0.025738
0,45,0.044327
1,45,0.029449
2,45,0.012869
0,50,0.022163
1,50,0.014724
2,50,0.006435
0,55,0.011082
1,55,0.007362
2,55,0.003217
0,60,0.005541
1,60,0.003681
2,60,0.001609
0,65,0.002770
1,65,0.001841
2,65,0.000804
0,70,0.001385
1,70,0.000920
2,70,0.000402
